 Enter the number of points on the cylinder
 Enter the number of points on the boundary (divisible by 6)
 Enter the number of points in the interior
 Enter the number of neighbours for each point
 coefficients calculated
              x              y              u              v              p
  0.3919313E+01 -0.1025248E+01  0.1013683E+01  0.5339383E-01  0.1166370E+01
  0.4524149E+01  0.2073073E+01  0.1001276E+01 -0.1217213E-02  0.1129567E+01
 -0.1045492E+01  0.1580952E+01  0.1367698E+01  0.1766406E+00  0.5732515E+01
  0.4442378E+01 -0.1069946E+01  0.1004620E+01  0.2915605E-01  0.1166958E+01
 -0.2198514E+01  0.1589904E+01  0.1019916E+01  0.1532092E+00  0.6633139E+01
  0.3081980E+01 -0.1824025E+01  0.1080576E+01  0.3377591E-01  0.1276339E+01
 -0.1019017E+01 -0.1305291E+01  0.1308544E+01 -0.1697682E+00  0.5387157E+01
  0.1711847E+01  0.7512755E+00  0.8436765E+00 -0.2567103E+00  0.1963284E+01
  0.3035905E+00  0.2159276E+01  0.1357212E+01 -0.2049271E-01  0.3092462E+01
  0.9604532E+00 -0.1884698E+01  0.1368702E+01  0.6572409E-01  0.2588813E+01
 -0.1398231E+00 -0.2000502E+01  0.1460441E+01 -0.1583192E-02  0.4067893E+01
 -0.2814972E+01  0.2266799E+01  0.9877969E+00  0.5881999E-02  0.6591936E+01
  0.4130737E+01  0.1537776E+01  0.1007431E+01 -0.9932706E-02  0.1140164E+01
 -0.4594632E+01  0.9989616E+00  0.9896186E+00 -0.2977411E-01  0.6487835E+01
 -0.3765614E+01 -0.1316946E+01  0.1073311E+01 -0.6376703E-01  0.6061705E+01
 -0.1450881E+01 -0.1458727E+01  0.1302866E+01 -0.2001700E+00  0.5734797E+01
 -0.3511360E+01 -0.1715028E+01  0.1078213E+01 -0.2602297E-01  0.6026263E+01
 -0.7641519E+00 -0.1614212E+00  0.1096075E+00 -0.1118842E-01  0.6597547E+01
 -0.1628414E+01 -0.1581722E+01  0.1295923E+01 -0.1909587E+00  0.6154764E+01
